Period,Sales_quantity
01.01.2015,12729.0
01.02.2015,11636.0
01.03.2015,15922.0
01.04.2015,15227.0
01.05.2015,8620.0
01.06.2015,13160.0
01.07.2015,17254.0
01.08.2015,8642.0
01.09.2015,16144.0
01.10.2015,18135.0
01.11.2015,10841.0
01.12.2015,22113.0
01.01.2016,15365.0
01.02.2016,13153.0
01.03.2016,18339.0
01.04.2016,13909.0
01.05.2016,8553.0
01.06.2016,15101.0
01.07.2016,15695.0
01.08.2016,8314.0
01.09.2016,17764.0
01.10.2016,18969.0
01.11.2016,13433.0
01.12.2016,27029.0
01.01.2017,16889.0
01.02.2017,15864.0
01.03.2017,22786.0
01.04.2017,17910.0
01.05.2017,10777.0
01.06.2017,18799.0
01.07.2017,17899.0
01.08.2017,9649.0
01.09.2017,20159.0
01.10.2017,19519.0
01.11.2017,15360.0
01.12.2017,30833.0
01.01.2018,19812.0
01.02.2018,18424.0
01.03.2018,29004.0
01.04.2018,22033.0
01.05.2018,14959.0
01.06.2018,23067.0
01.07.2018,18397.0
01.08.2018,12045.0
01.09.2018,23358.0
01.10.2018,22644.0
01.11.2018,19765.0
01.12.2018,33207.0
01.01.2019,24096.0
01.02.2019,21624.0
01.03.2019,33379.0
01.04.2019,22265.0
01.05.2019,16967.0
01.06.2019,24958.0
01.07.2019,21917.0
01.08.2019,14431.0
01.09.2019,23253.0
01.10.2019,26603.0
01.11.2019,21987.0
01.12.2019,38069.0
01.01.2020,27184.0
01.02.2020,23509.0
01.03.2020,32569.0
01.04.2020,26615.0
